"DATE","NUMBER","CUSTOMERS","KGS NETTO","PEMBELIAN"
"13-Jun-22","25/MMP-PDNCR/VI/2022","NICHIREI FRESH INC.","15,120.00","Cek"
"13-Jun-22","12/MMP-PE-MRH/VI/2022","MARUHA NICHIRO CORPORATION","6,350.40","Debit"
"14-Jun-22","5/MMP-JCCU/VI/2022(S)","JAPANESE CONSUMERS CO-OPERATIVE","3.51","Debit"
"14-Jun-22","20/MMP-PE-TSJ/VI/2022","TOHO BUSSAN KAISHA, LTD.","6,177.60","Debit"
"14-Jun-22","1/MMP-FS-TBK/VI/2022","TOHO BUSSAN KAISHA, LTD.","750.00","Debit"
"15-Jun-22","8/MMP-PE-DNS/VI/2022","TOHO BUSSAN KAISHA, LTD.","2,688.00","Debit"
"15-Jun-22","12/MMP-KN/VI/2022","TOHO BUSSAN KAISHA, LTD.","2,700.00","Debit"
"15-Jun-22","4/MMP-EC-PE/VI/2022","TOHO BUSSAN KAISHA, LTD.","1,507.20","Debit"
"15-Jun-22","13/MMP-PE-MRH/VI/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"15-Jun-22","16/MMP-NCR/VI/2022","NICHIREI FRESH INC.","4,900.96","Debit"
"15-Jun-22","16/MMP-NCP/VI/2022","NICHIREI FRESH INC.","10,048.32","Cek"
"20-Jun-22","26/MMP-PDNCR/VI/2022","NICHIREI FRESH INC.","13,830.00","Cek"
"20-Jun-22","21/MMP-PE-TSJ/VI/2022","TOHO BUSSAN KAISHA, LTD.","8,601.60","Debit"
"21-Jun-22","11/MMP-JCU-PD/VI/2022","TOHO BUSSAN KAISHA, LTD.","2,730.00","Debit"
"21-Jun-22","17/MMP-JCU-PE/VI/2022","TOHO BUSSAN KAISHA, LTD.","7,308.00","Debit"
"21-Jun-22","5/MMP-SC-PE/VI/2022","TOHO BUSSAN KAISHA, LTD.","7,503.12","Debit"
"21-Jun-22","3/MMP-OKY-SS/VI/2022","OKAYA AND CO., LTD","7,018.96","Debit"
"22-Jun-22","27/MMP-PDNCR/VI/2022","NICHIREI FRESH INC.","12,972.00","Cek"
"22-Jun-22","4/MMP-PE-MAR/VI/2022","TOHO BUSSAN KAISHA, LTD.","1,440.00","Debit"
"22-Jun-22","13/MMP-KN/VI/2022","TOHO BUSSAN KAISHA, LTD.","7,560.00","Debit"
"22-Jun-22","9/MMP-PE-DNS/VI/2022","TOHO BUSSAN KAISHA, LTD.","816.00","Debit"
"23-Jun-22","17/MMP-NCR/VI/2022","NICHIREI FRESH INC.","15,391.80","Cek"
"23-Jun-22","3/MMP-TBK/VI/2022(S)","TOHO BUSSAN KAISHA, LTD.","7.74","Debit"
"23-Jun-22","4/MMP-OKY-SS/VI/2022","OKAYA AND CO., LTD","7,300.31","Debit"
"28-Jun-22","6/MMP-PE-TYR/VI/2022","TOYO REIZO CO., LTD","6,117.12","Debit"
"28-Jun-22","13/MMP-PE-OKY/VI/2022","OKAYA AND CO., LTD","13,600.00","Cek"
"28-Jun-22","18/MMP-NCR/VI/2022","NICHIREI FRESH INC.","4,236.80","Debit"
"28-Jun-22","18/MMP-NCP/VI/2022","NICHIREI FRESH INC.","10,411.20","Cek"
"28-Jun-22","6/MMP-FS-NCR/VI/2022(S)","NICHIREI FRESH INC.","8.80","Debit"
"28-Jun-22","6/MMP-FS-NCP/VI/2022(S)","NICHIREI FRESH INC.","2.46","Debit"
"28-Jun-22","22/MMP-PE-TSJ/VI/2022","TOHO BUSSAN KAISHA, LTD.","5,840.64","Debit"
"29-Jun-22","28/MMP-PDNCR/VI/2022","NICHIREI FRESH INC.","12,540.00","Cek"
"29-Jun-22","2/PMM-NCR-USA/VI/2022","AN DERINGER, USA","13,255.20","Debit"
"29-Jun-22","12/MMP-JCU-PD/VI/2022","TOHO BUSSAN KAISHA, LTD.","2,145.00","Debit"
"29-Jun-22","18/MMP-JCU-PE/VI/2022","TOHO BUSSAN KAISHA, LTD.","7,753.20","Debit"
"29-Jun-22","01/MMP-PM-SQ/VI/2022","SEA QUEENLET CO., LTD.","8.30","Debit"
"29-Jun-22","9/MMP-SQ-TW/VI/2022","SEA QUEENLET CO., LTD.","11,291.66","Cek"
"29-Jun-22","9/MMP-SQ-TP/VI/2022","SEA QUEENLET CO., LTD.","1,586.00","Debit"
"29-Jun-22","8/MMP-SQ-PE/VI/2022","SEA QUEENLET CO., LTD.","1,699.20","Debit"
"4-Jul-22","6/MMP-SC-PE/VII/2022","TOHO BUSSAN KAISHA, LTD.","7,503.12","Debit"
"4-Jul-22","7/MMP-SC-PE/VII/2022","TOHO BUSSAN KAISHA, LTD.","7,503.12","Debit"
"5-Jul-22","14/MMP-PE-OKY/VII/2022","OKAYA AND CO., LTD","10,258.40","Cek"
"6-Jul-22","19/MMP-JCU-PE/VII/2022","TOHO BUSSAN KAISHA, LTD.","8,844.00","Debit"
"6-Jul-22","12/MMP-TBK-PM/VII/2022","TOHO BUSSAN KAISHA, LTD.","51.45","Debit"
"6-Jul-22","5/MMP-PE-MAR/VII/2022","TOHO BUSSAN KAISHA, LTD.","2,400.00","Debit"
"6-Jul-22","5/MMP-EC-PE/VII/2022","TOHO BUSSAN KAISHA, LTD.","3,360.00","Debit"
"6-Jul-22","14/MMP-KN/VII/2022","TOHO BUSSAN KAISHA, LTD.","2,052.00","Debit"
"6-Jul-22","15/MMP-KN/VII/2022","TOHO BUSSAN KAISHA, LTD.","1,800.00","Debit"
"7-Jul-22","29/MMP-PDNCR/VII/2022","NICHIREI FRESH INC.","15,050.00","Cek"
"7-Jul-22","19/MMP-NCR/VII/2022","NICHIREI FRESH INC.","3,748.96","Debit"
"7-Jul-22","19/MMP-NCP/VII/2022","NICHIREI FRESH INC.","12,773.28","Debit"
"7-Jul-22","7/MMP-FS-NCR/VII/2022(S)","NICHIREI FRESH INC.","8.67","Debit"
"12-Jul-22","14/MMP-PE-MRH/VII/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"12-Jul-22","7/MMP-PE-TYR/VII/2022","TOYO REIZO CO., LTD","6,117.12","Debit"
"13-Jul-22","23/MMP-PE-TSJ/VII/2022","TOHO BUSSAN KAISHA, LTD.","5,376.00","Debit"
"13-Jul-22","3/MMP-PE-MK/VII/2022","TOHO BUSSAN KAISHA, LTD.","4,830.00","Debit"
"13-Jul-22","10/MMP-PE-DNS/VII/2022","TOHO BUSSAN KAISHA, LTD.","2,952.00","Debit"
"13-Jul-22","16/MMP-KN/VII/2022","TOHO BUSSAN KAISHA, LTD.","3,480.00","Debit"
"13-Jul-22","17/MMP-KN/VII/2022","TOHO BUSSAN KAISHA, LTD.","1,080.00","Debit"
"14-Jul-22","6/MMP-JCCU/VII/2022(S)","JAPANESE CONSUMERS CO-OPERATIVE","2.34","Debit"
"14-Jul-22","9/MMP-SQ-PE/VII/2022","SEA QUEENLET CO., LTD.","2,774.00","Debit"
"14-Jul-22","10/MMP-SQ-TW/VII/2022","SEA QUEENLET CO., LTD.","12,444.40","Cek"
"18-Jul-22","15/MMP-PE-MRH/VII/2022","MARUHA NICHIRO CORPORATION","6,350.40","Debit"
"19-Jul-22","20/MMP-NCR/VII/2022","NICHIREI FRESH INC.","2,968.88","Debit"
"19-Jul-22","20/MMP-NCP/VII/2022","NICHIREI FRESH INC.","15,702.60","Cek"
"23-Jul-22","20/MMP-JCU-PE/VII/2022","TOHO BUSSAN KAISHA, LTD.","8,766.00","Debit"
"25-Jul-22","6/MMP-NPE/VII/2022","TOHO BUSSAN KAISHA, LTD.","13,340.00","Cek"
"25-Jul-22","6/MMP-EC-PE/VII/2022","TOHO BUSSAN KAISHA, LTD.","1,920.00","Debit"
"25-Jul-22","24/MMP-PE-TSJ/VII/2022","TOHO BUSSAN KAISHA, LTD.","8,601.60","Debit"
"25-Jul-22","30/MMP-PDNCR/VII/2022","NICHIREI FRESH INC.","15,100.00","Cek"
"25-Jul-22","15/MMP-PE-OKY/VII/2022","OKAYA AND CO., LTD","16,048.00","Cek"
"26-Jul-22","6/PMM-NCR-USA/VII/2022","AN DERINGER, USA","12,514.40","Debit"
"27-Jul-22","2/MMP-JM-PE/VII/2022","TOHO BUSSAN KAISHA, LTD.","7,980.00","Debit"
"27-Jul-22","5/MMP-OKY-SS/VII/2022","OKAYA AND CO., LTD","7,250.34","Debit"
"27-Jul-22","21/MMP-JCU-PE/VII/2022","TOHO BUSSAN KAISHA, LTD.","8,844.00","Debit"
"27-Jul-22","1/MMP-FS-TYR/VII/2022","TOYO REIZO CO., LTD","15,876.00","Cek"
"2-Aug-22","8/MMP-SC-PE/VIII/2022","TOHO BUSSAN KAISHA, LTD.","7,503.12","Debit"
"2-Aug-22","7/MMP-PE-YCY/VIII/2022","YACHIYO CORPORATION","8,600.00","Debit"
"3-Aug-22","6/MMP-PE-MAR/VIII/2022","TOHO BUSSAN KAISHA, LTD.","1,440.00","Debit"
"3-Aug-22","18/MMP-KN/VIII/2022","TOHO BUSSAN KAISHA, LTD.","8,985.60","Debit"
"6-Aug-22","6/MMP-OKY-SS/VIII/2022","OKAYA AND CO., LTD","7,264.95","Debit"
"6-Aug-22","21/MMP-NCR/VIII/2022","NICHIREI FRESH INC.","2,472.00","Debit"
"6-Aug-22","21/MMP-NCP/VIII/2022","NICHIREI FRESH INC.","13,861.20","Cek"
"6-Aug-22","8/MMP-FS-NCR/VIII/2022(S)","NICHIREI FRESH INC.","3.00","Debit"
"8-Aug-22","8/MMP-PE-TYR/VIII/2022","TOYO REIZO CO., LTD","6,117.12","Debit"
"8-Aug-22","11/MMP-SQ-TW/VIII/2022","SEA QUEENLET CO., LTD.","10,587.00","Cek"
"8-Aug-22","11/MMP-SQ-TP/VIII/2022","SEA QUEENLET CO., LTD.","272.00","Debit"
"8-Aug-22","10/MMP-SQ-PE/VIII/2022","SEA QUEENLET CO., LTD.","1,628.40","Debit"
"9-Aug-22","16/MMP-PE-MRH/VIII/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"9-Aug-22","31/MMP-PDNCR/VIII/2022","NICHIREI FRESH INC.","15,100.00","Cek"
"10-Aug-22","25/MMP-PE-TSJ/VIII/2022","TOHO BUSSAN KAISHA, LTD.","9,950.40","Debit"
"10-Aug-22","3/MMP-PE-TBK/VIII/2022","TOHO BUSSAN KAISHA, LTD.","3.05","Debit"
"10-Aug-22","7/MMP-NP-SM/VIII/2022","TOHO BUSSAN KAISHA, LTD.","10,740.00","Debit"
"10-Aug-22","11/MMP-PE-DNS/VIII/2022","TOHO BUSSAN KAISHA, LTD.","2,176.00","Debit"
"10-Aug-22","22/MMP-JCU-PE/VIII/2022","TOHO BUSSAN KAISHA, LTD.","7,176.00","Debit"
"10-Aug-22","13/MMP-JCU-PD/VIII/2022","TOHO BUSSAN KAISHA, LTD.","2,925.00","Debit"
"10-Aug-22","13/MMP-TBK-PM/VIII/2022","TOHO BUSSAN KAISHA, LTD.","43.25","Debit"
"12-Aug-22","32/MMP-PDNCR/VIII/2022","NICHIREI FRESH INC.","14,730.00","Cek"
"12-Aug-22","3/MMP-GDS/VIII/2022","GALLANT DACHAN SEAFOOD CO., LTD.","11,890.80","Cek"
"12-Aug-22","3/MMP-GDP/VIII/2022","GALLANT DACHAN SEAFOOD CO., LTD.","2,376.00","Debit"
"12-Aug-22","3/MMP-GDR/VIII/2022","GALLANT DACHAN SEAFOOD CO., LTD.","615.60","Debit"
"12-Aug-22","3/MMP-GDV/VIII/2022","GALLANT DACHAN SEAFOOD CO., LTD.","993.60","Debit"
"15-Aug-22","17/MMP-PE-MRH/VIII/2022","MARUHA NICHIRO CORPORATION","6,350.40","Debit"
"15-Aug-22","26/MMP-PE-TSJ/VIII/2022","TOHO BUSSAN KAISHA, LTD.","7,107.84","Debit"
"16-Aug-22","23/MMP-JCU-PE/VIII/2022","TOHO BUSSAN KAISHA, LTD.","8,766.00","Debit"
"16-Aug-22","22/MMP-NCR/VIII/2022","NICHIREI FRESH INC.","4,995.37","Debit"
"16-Aug-22","22/MMP-NCP/VIII/2022","NICHIREI FRESH INC.","10,562.40","Cek"
"16-Aug-22","7/MMP-EC-PE/VIII/2022","TOHO BUSSAN KAISHA, LTD.","4,147.20","Debit"
"16-Aug-22","7/MMP-NPE/VIII/2022","TOHO BUSSAN KAISHA, LTD.","1,200.00","Debit"
"16-Aug-22","20/MMP-KN/VIII/2022","TOHO BUSSAN KAISHA, LTD.","1,296.00","Debit"
"16-Aug-22","14/MMP-TBK-PM/VIII/2022","TOHO BUSSAN KAISHA, LTD.","35.14","Debit"
"16-Aug-22","19/MMP-KN/VIII/2022","TOHO BUSSAN KAISHA, LTD.","3,120.00","Debit"
"16-Aug-22","27/MMP-PE-TSJ/VIII/2022","TOHO BUSSAN KAISHA, LTD.","8,409.60","Debit"
"20-Aug-02","33/MMP-PDNCR/VIII/2022","NICHIREI FRESH INC.","10,994.00","Cek"
"20-Aug-02","33/MMP-PDNCP/VIII/2022","NICHIREI FRESH INC.","1,200.00","Debit"
"23-Aug-22","23/MMP-NCR/VIII/2022","NICHIREI FRESH INC.","2,274.00","Debit"
"23-Aug-22","23/MMP-NCP/VIII/2022","NICHIREI FRESH INC.","14,166.00","Cek"
"23-Aug-22","9/MMP-PE-TYR/VIII/2022","TOYO REIZO CO., LTD","6,117.12","Debit"
"24-Aug-22","3/PMM-LWC/VIII/2022","LAWRENCE WHOLESALE LLC","15,254.40","Debit"
"24-Aug-22","7/MMP-JCCU/VII/2022(S)","JAPANESE CONSUMERS CO-OPERATIVE","1.95","Debit"
"24-Aug-22","8/MMP-EC-PE/VIII/2022","TOHO BUSSAN KAISHA, LTD.","1,132.80","Debit"
"24-Aug-22","8/MMP-NP-SM/VIII/2022","TOHO BUSSAN KAISHA, LTD.","13,613.20","Debit"
"25-Aug-22","12/MMP-SQ-TW/VIII/2022","SEA QUEENLET CO., LTD.","15,640.80","Cek"
"25-Aug-22","12/MMP-SQ-TR/VIII/2022","SEA QUEENLET CO., LTD.","448.00","Debit"
"25-Aug-22","1/MMP-SQ-TW/VIII/2022(S)","SEA QUEENLET CO., LTD.","2.70","Debit"
"29-Aug-22","14/MMP-JCU PD/VIII/2022","TOHO BUSSAN KAISHA, LTD.","2,925.00","Debit"
"29-Aug-22","24/MMP-JCU PE/VIII/2022","TOHO BUSSAN KAISHA, LTD.","7,221.60","Debit"
"29-Aug-22","2/MMP-AQM-EU/VIII/2022","AQUAMARINE SEAFOOD BV","12,422.40","Cek"
"30-Aug-22","16/MMP-PE-OKY/VIII/2022","OKAYA AND CO., LTD","13,600.00","Cek"
"5-Sep-22","9/MMP-SC-PE/IX/2022","TOHO BUSSAN KAISHA, LTD.","7,503.12","Debit"
"5-Sep-22","8/MMP-PE-YCY/IX/2022","YACHIYO CORPORATION","8,056.00","Debit"
"5-Sep-22","18/MMP-PE-MRH/IX/2022","MARUHA NICHIRO CORPORATION","6,120.00","Debit"
"6-Sep-22","19/MMP-PE-MRH/IX/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"6-Sep-22","24/MMP-NCR/IX/2022","NICHIREI FRESH INC.","4,424.20","Debit"
"6-Sep-22","24/MMP-NCP/IX/2022","NICHIREI FRESH INC.","12,204.48","Cek"
"7-Sep-22","1/MMP-NCR-SS/IX/2022","NICHIREI FRESH INC.","10,640.39","Cek"
"10-Sep-22","17/MMP-PE-OKY/IX/2022","OKAYA AND CO., LTD","5,981.22","Debit"
"13-Sep-22","9/MMP-NP-SM/IX/2022","TOHO BUSSAN KAISHA, LTD.","12,780.00","Cek"
"13-Sep-22","9/MMP-EC-PE/IX/2022","TOHO BUSSAN KAISHA, LTD.","2,016.00","Debit"
"13-Sep-22","15/MMP-JCU-PD/IX/2022","TOHO BUSSAN KAISHA, LTD.","1,560.00","Debit"
"13-Sep-22","25/MMP-JCU-PE/IX/2022","TOHO BUSSAN KAISHA, LTD.","8,205.00","Debit"
"13-Sep-22","15/MMP-TBK-PM/IX/2022","TOHO BUSSAN KAISHA, LTD.","43.25","Debit"
"14-Sep-22","21/MMP-KN/IX/2022","TOHO BUSSAN KAISHA, LTD.","10,281.60","Cek"
"14-Sep-22","18/MMP-PE-OKY/IX/2022","OKAYA AND CO., LTD","16,048.00","Cek"
"15-Sep-22","11/MMP-SQ-PE/IX/2022","SEA QUEENLET CO., LTD.","1,938.00","Debit"
"15-Sep-22","13/MMP-SQ-TW/IX/2022","SEA QUEENLET CO., LTD.","12,113.65","Cek"
"15-Sep-22","28/MMP-PE-TSJ/IX/2022","TOHO BUSSAN KAISHA, LTD.","3,144.96","Debit"
"15-Sep-22","29/MMP-PE-TSJ/IX/2022","TOHO BUSSAN KAISHA, LTD.","7,116.34","Debit"
"20-Sep-22","10/MMP-PE-TYR/IX/2022","TOYO REIZO CO., LTD","6,117.12","Debit"
"21-Sep-22","1/PMM-COSFF/IX/2022","CHICKEN OF THE SEA","16,344.00","Debit"
"21-Sep-22","30/MMP-PE-TSJ/IX/2022","TOHO BUSSAN KAISHA, LTD.","8,601.60","Debit"
"21-Sep-22","16/MMP-JCU-PD/IX/2022","TOHO BUSSAN KAISHA, LTD.","2,340.00","Debit"
"21-Sep-22","26/MMP-JCU-PE/IX/2022","TOHO BUSSAN KAISHA, LTD.","7,544.10","Debit"
"22-Sep-22","25/MMP-NCR/IX/2022","NICHIREI FRESH INC.","4,703.56","Debit"
"22-Sep-22","25/MMP-NCP/IX/2022","NICHIREI FRESH INC.","10,485.12","Cek"
"22-Sep-22","9/MMP-FS-NCR/IX/2022(S)","NICHIREI FRESH INC.","46.80","Debit"
"22-Sep-22","22/MMP-KN/IX/2022","TOHO BUSSAN KAISHA, LTD.","1,878.00","Debit"
"22-Sep-22","10/MMP-NP-SM/IX/2022","TOHO BUSSAN KAISHA, LTD.","9,392.00","Debit"
"26-Sep-22","34/MMP-PDNCR/IX/2022","NICHIREI FRESH INC.","11,692.00","Cek"
"26-Sep-22","34/MMP-PDNCP/IX/2022","NICHIREI FRESH INC.","2,196.00","Debit"
"26-Sep-22","31/MMP-PE-TSJ/IX/2022","TOHO BUSSAN KAISHA, LTD.","8,601.60","Debit"
"27-Sep-22","19/MMP-PE-OKY/IX/2022","OKAYA AND CO., LTD","11,233.60","Cek"
"27-Sep-22","20/MMP-PE-MRH/IX/2022","MARUHA NICHIRO CORPORATION","6,350.40","Debit"
"27-Sep-22","21/MMP-PE-MRH/IX/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"28-Sep-22","17/MMP-JCU-PD/IX/2022","TOHO BUSSAN KAISHA, LTD.","2,340.00","Debit"
"28-Sep-22","27/MMP-JCU-PE/IX/2022","TOHO BUSSAN KAISHA, LTD.","6,457.50","Debit"
"28-Sep-22","23/MMP-KN/IX/2022","TOHO BUSSAN KAISHA, LTD.","9,849.60","Debit"
"29-Sep-22","12/MMP-SQ-PE/IX/2022","SEA QUEENLET CO., LTD.","1,492.80","Debit"
"29-Sep-22","14/MMP-SQ-TW/IX/2022","SEA QUEENLET CO., LTD.","14,223.20","Cek"
"1-Oct-22","3/MMP-NCR/X/2022(S)","NICHIREI FRESH INC.","1.95","Debit"
"1-Oct-22","3/MMP-NCP/X/2022(S)","NICHIREI FRESH INC.","2.40","Debit"
"4-Oct-22","10/MMP-SC-PE/X/2022","TOHO BUSSAN KAISHA, LTD.","6,648.36","Debit"
"4-Oct-22","9/MMP-PE-YCY/X/2022","YACHIYO CORPORATION","7,886.00","Debit"
"5-Oct-22","11/MMP-PE-TYR/X/2022","TOYO REIZO CO., LTD","6,117.12","Debit"
"5-Oct-22","4/MMP-GDS/X/2022","GALLANT DACHAN SEAFOOD CO., LTD.","15,714.00","Cek"
"10-Oct-22","35/MMP-PDNCR/X/2022","NICHIREI FRESH INC.","7,188.80","Debit"
"11-Oct-22","26/MMP-NCR/X/2022","NICHIREI FRESH INC.","16,980.00","Cek"
"11-Oct-22","22/MMP-PE-MRH/X/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"15-Oct-22","11/MMP-NP-SM/X/2022","TOHO BUSSAN KAISHA, LTD.","14,269.60","Cek"
"15-Oct-22","32/MMP-PE-TSJ/X/2022","TOHO BUSSAN KAISHA, LTD.","3,088.80","Debit"
"15-Oct-22","33/MMP-PE-TSJ/X/2022","TOHO BUSSAN KAISHA, LTD.","7,204.46","Debit"
"15-Oct-22","20/MMP-PE-OKY/X/2022","OKAYA AND CO., LTD","16,048.00","Cek"
"17-Oct-22","15/MMP-SQ-TW/X/2022","SEA QUEENLET CO., LTD.","16,988.00","Cek"
"17-Oct-22","15/MMP-SQ-TR/X/2022","SEA QUEENLET CO., LTD.","88.00","Debit"
"17-Oct-22","13/MMP-SQ PE/X/2022","SEA QUEENLET CO., LTD.","900.00","Debit"
"17-Oct-22","23/MMP-PE-MRH/X/2022","MARUHA NICHIRO CORPORATION","6,350.40","Debit"
"17-Oct-22","2/MMP-NCR-SS/X/2022","NICHIREI FRESH INC.","7,089.79","Debit"
"18-Oct-22","12/MMP-PE-TYR/X/2022","TOYO REIZO CO., LTD","6,117.12","Debit"
"18-Oct-22","2/MMP-FS-TBK/X/2022(S)","TOHO BUSSAN KAISHA, LTD.","7.20","Debit"
"18-Oct-22","34/MMP-PE-TSJ/X/2022","TOHO BUSSAN KAISHA, LTD.","8,601.60","Debit"
"19-Oct-22","18/MMP-JCU-PD/X/2022","TOHO BUSSAN KAISHA, LTD.","1,950.00","Debit"
"19-Oct-22","28/MMP-JCU-PE/X/2022","TOHO BUSSAN KAISHA, LTD.","7,855.44","Debit"
"19-Oct-22","16/MMP-TBK-PM/X/2022","TOHO BUSSAN KAISHA, LTD.","178.78","Debit"
"24-Oct-22","3/MMP-NCR-SS/X/2022","NICHIREI FRESH INC.","7,527.97","Debit"
"24-Oct-22","19/MMP-JCU-PD/X/2022","TOHO BUSSAN KAISHA, LTD.","1,677.00","Debit"
"24-Oct-22","29/MMP-JCU-PE/X/2022","TOHO BUSSAN KAISHA, LTD.","8,114.40","Debit"
"25-Oct-22","2/MMP-FS-TBK/X/2022(S)","TOHO BUSSAN KAISHA, LTD.","220.00","Debit"
"25-Oct-22","35/MMP-PE-TSJ/X/2022","TOHO BUSSAN KAISHA, LTD.","4,062.72","Debit"
"25-Oct-22","36/MMP-PE-TSJ/X/2022","TOHO BUSSAN KAISHA, LTD.","6,459.26","Debit"
"25-Oct-22","2/PMM-COSFF/X/2022","CHICKEN OF THE SEA","16,353.08","Cek"
"26-Oct-22","13/MMP-PE-TYR/X/2022","TOYO REIZO CO., LTD","6,117.12","Debit"
"26-Oct-22","10/MMP-FS-NCR/X/2022(S)","NICHIREI FRESH INC.","10.00","Debit"
"26-Oct-22","27/MMP-NCR/X/2022","NICHIREI FRESH INC.","1,080.00","Debit"
"26-Oct-22","27/MMP-NCP/X/2022","NICHIREI FRESH INC.","15,732.00","Cek"
"29-Oct-22","21/MMP-PE-OKY/X/2022","OKAYA AND CO., LTD","13,600.00","Cek"
"29-Oct-22","36/MMP-PDNCR/X/2022","NICHIREI FRESH INC.","14,780.00","Cek"
"2-Nov-22","1/MMP-MITSUI/XI/2022(S)","MITSUI & CO. SEAFOODS LTD","12.99","Debit"
"2-Nov-22","10/MMP-PE-YCY/XI/2022","YACHIYO CORPORATION","8,046.00","Debit"
"2-Nov-22","16/MMP-SQ-TW/XI/2022","SEA QUEENLET CO., LTD.","16,224.00","Cek"
"2-Nov-22","14/MMP-SQ-PE/XI/2022","SEA QUEENLET CO., LTD.","1,080.00","Debit"
"3-Nov-22","1/MMP-DCIE/XI/2022(S)","DCI&E FOOD LTD","3.64","Debit"
"3-Nov-22","24/MMP-KN/XI/2022","TOHO BUSSAN KAISHA, LTD.","6,600.00","Debit"
"7-Nov-22","24/MMP-PE-MRH/XI/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"7-Nov-22","25/MMP-PE-MRH/XI/2022","MARUHA NICHIRO CORPORATION","2,592.00","Debit"
"7-Nov-22","4/MMP-NCR-SS/XI/2022","NICHIREI FRESH INC.","8,659.72","Debit"
"8-Nov-22","20/MMP-JCU-PD/XI/2022","TOHO BUSSAN KAISHA, LTD.","1,950.00","Debit"
"8-Nov-22","30/MMP-JCU-PE/XI/2022","TOHO BUSSAN KAISHA, LTD.","6,405.60","Debit"
"8-Nov-22","37/MMP-PE-TSJ/XI/2022","TOHO BUSSAN KAISHA, LTD.","7,473.12","Debit"
"8-Nov-22","17/MMP-TBK-PM/XI/2022","TOHO BUSSAN KAISHA, LTD.","101.00","Debit"
"8-Nov-22","14/MMP-PE-TYR/XI/2022","TOYO REIZO CO., LTD","6,969.60","Debit"
"9-Nov-22","22/MMP-PE-OKY/XI/2022","OKAYA AND CO., LTD","15,276.27","Cek"
"14-Nov-22","11/MMP-PE-YCY/XI/2022","YACHIYO CORPORATION","8,092.00","Debit"
"14-Nov-22","5/MMP-NCR-SS/XI/2022","NICHIREI FRESH INC.","8,680.60","Debit"
"14-Nov-22","28/MMP-NCR/XI/2022","NICHIREI FRESH INC.","3,802.52","Debit"
"14-Nov-22","28/MMP-NCP/XI/2022","NICHIREI FRESH INC.","12,108.60","Cek"
"14-Nov-22","5/MMP-GDS/XI/2022","GALLANT DACHAN SEAFOOD CO., LTD.","766.80","Debit"
"14-Nov-22","5/MMP-GDR/XI/2022","GALLANT DACHAN SEAFOOD CO., LTD.","2,700.00","Debit"
"14-Nov-22","5/MMP-GDP/XI/2022","GALLANT DACHAN SEAFOOD CO., LTD.","6,919.20","Debit"
"14-Nov-22","5/MMP-GDV/XI/2022","GALLANT DACHAN SEAFOOD CO., LTD.","5,860.80","Debit"
"15-Nov-22","37/MMP-PDNCR/XI/2022","NICHIREI FRESH INC.","6,900.00","Debit"
"15-Nov-22","38/MMP-PE-TSJ/XI/2022","TOHO BUSSAN KAISHA, LTD.","8,601.60","Debit"
"16-Nov-22","21/MMP-JCU-PD/XI/2022","TOHO BUSSAN KAISHA, LTD.","2,184.00","Debit"
"16-Nov-22","31/MMP-JCU-PE/XI/2022","TOHO BUSSAN KAISHA, LTD.","7,575.36","Debit"
"16-Nov-22","38/MMP-PDNCR/XI/2022","NICHIREI FRESH INC.","14,930.00","Cek"
"21-Nov-22","10/MMP-EC-PE/XI/2022","TOHO BUSSAN KAISHA, LTD.","4,128.00","Debit"
"21-Nov-22","7/MMP-PE-MAR/XI/2022","TOHO BUSSAN KAISHA, LTD.","9,224.00","Debit"
"21-Nov-22","23/MMP-PE-OKY/XI/2022","OKAYA AND CO., LTD","13,600.00","Cek"
"22-Nov-22","26/MMP-PE-MRH/XI/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"22-Nov-22","17/MMP-SQ-TW/XI/2022","SEA QUEENLET CO., LTD.","13,716.40","Debit"
"22-Nov-22","15/MMP-SQ-PE/XI/2022","SEA QUEENLET CO., LTD.","1,803.80","Debit"
"23-Nov-22","15/MMP-PE-TYR/XI/2022","TOYO REIZO CO., LTD","6,117.12","Debit"
"24-Nov-22","4/MMP-NCR/XI/2022(S)","NICHIREI FRESH INC.","3.20","Debit"
"26-Nov-22","16/MMP-PE-TYR/XI/2022","TOYO REIZO CO., LTD","6,117.12","Debit"
"28-Nov-22","22/MMP-JCU-PD/XI/2022","TOHO BUSSAN KAISHA, LTD.","2,535.00","Debit"
"28-Nov-22","32/MMP-JCU-PE/XI/2022","TOHO BUSSAN KAISHA, LTD.","6,312.72","Debit"
"28-Nov-22","39/MMP-PE-TSJ/XI/2022","TOHO BUSSAN KAISHA, LTD.","6,381.12","Debit"
"28-Nov-22","3/MMP-FS-TBK/XI/2022(S)","TOHO BUSSAN KAISHA, LTD.","4.50","Debit"
"28-Nov-22","4/MMP-PE-TBK/XI/2022(S)","TOHO BUSSAN KAISHA, LTD.","9.00","Debit"
