,Tweets
173,"Musim Hujan Tiba, Ini Tips Mudah agar Tak Mudah Terserang Penyakit https://t.co/lBFXze50eJ https://t.co/eWMtmqa9bC"
174,"Waspada Cuaca Ekstrem! BMKG Sebut Jabodetabek Hujan Lebat, Petir &amp; Angin Kencang hingga Pekan Depan… https://t.co/InOHbpfQOp"
175,Bandara Internasional Syamsudin Noor Siap Sambut Kedatangan Kafilah MTQ Nasional XXIX di Kalsel… https://t.co/0s5ANrvuIQ
176,"Media Asing Investigasi Tragedi Kanjuruhan, Mahfud MD: Cocokkan yang Paling Rasional dan Faktual… https://t.co/jjc4PRuKWG"
177,"Curah Hujan Tinggi, BPBD Banjarmasin Imbau Warga Waspada Banjir Rob https://t.co/yozkKe4YpA https://t.co/zjYnR9YnIM"
178,"Jelang Sidang, Pengacara Ferdy Sambo Belum Terima Berkas Perkara dan Sulit Temui Putri Candrawathi… https://t.co/FwU27wEDHR"
179,"Arsenal vs Liverpool, Mikel Arteta Yakin The Gunners Bisa Saingi The Reds https://t.co/Xnx37AahPZ https://t.co/fIBttZXY1u"
180,"Liverpool Temukan 2 Wonderkid di Akademinya, Bisa Jadi Penghemat Transfer Jurgen Klopp https://t.co/ikRnZ2cFnr https://t.co/IPusI8qfgu"
181,"Anak David Beckham Latihan Bola Bareng Tim B-nya Brentford, Mau Masuk Liga Inggris? https://t.co/XAhBu0T0ND https://t.co/4qh4IDllHK"
182,"Tim Bentukan Pemerintah dan FIFA Berkantor di Indonesia, Presiden FIFA Datang Bulan Oktober-November… https://t.co/NIVwsWgyjy"
183,"Kualifikasi Piala Asia U17 2023: Menang 2-0 atas Palestina, Indonesia Kembali ke Puncak Klasemen… https://t.co/yaHkXe9HFt"
184,"Tragedi Kanjuruhan, Sepak Bola Indonesia Tidak Dikenakan Sanksi oleh FiFA! https://t.co/JYIb29tMUJ https://t.co/Aq73JrsCob"
185,Mobil Ringsek Tertabrak Kereta Pangrango Jurusan Sukabumi Bogor di Desa Karang Tengah https://t.co/ycu0PDjwwq https://t.co/SRYMRRV92z
186,Warga di Kabupaten Pandeglang Banten Tangkap Pencuri Motor di Kantor Desa! https://t.co/05JxoLlBv0 https://t.co/Jajr3tR61L
187,Naik ke Penyidikan Kasus Dugaan KDRT Rizky Billar terhadap Lesti Kejora! https://t.co/Eu29e70THu https://t.co/lTOXEPxemj
188,"Menyedihkan, Seorang Ibu di Jombang Histeris Lihat Anaknya Tewas Tertabrak Truk https://t.co/6rdpY3tPvH https://t.co/bl99vCQKQf"
189,Wayang Jogja Night Carnival Meriahkan Puncak Perayaan HUT Yogyakarta ke-266 https://t.co/TBhYNc2vZW https://t.co/eGrUSia2XI
190,Usut Cepat dan Tuntas Tragedi Sepak Bola di Kanjuruhan Malang https://t.co/L5sbnnPfdx https://t.co/24I2Pz99Tf
191,"Terseret Kasus KDRT, Rizky Billar Mangkir dari Panggilan Polisi https://t.co/D50PuxRKDd https://t.co/26kbgrsxMg"
192,109 Ribu Lebih Pelanggaran Tercatat Dalam Tilang Elektronik https://t.co/7zv7FFRZZh https://t.co/oKsXBbzWWp
193,"Mantan Polisi di Thailand Tembaki Tempat Penitipan Anak, 36 Orang Tewas https://t.co/JH19RRfhfo https://t.co/De9bF7c0za"
194,"Terungkap, Begini Cara Pelaku Habisi Nyawa Satu Keluarga di Lampung sebelum Buang ke Septic Tank… https://t.co/aYIQ2U9oph"
195,Ketua Panpel Arema FC: Saya Sudah Ingatkan Penggunaan Gas Air Mata https://t.co/5o1CqoEpVT https://t.co/nr4v0EyKke
196,Seratus Makanan Khas Jambi di Perkenalkan https://t.co/T2Rs77LFeQ https://t.co/6A4gCbzlvG
197,"Banjir Rendam 12 Kecamatan di Aceh Utara, 31 Ribu Warga Mengungsi https://t.co/e9BDRSIBmW https://t.co/P02eZwiUvB"
198,"Anies Baswedan Temui Ketum Partai Demokrat AHY, Sinyal Duet di Pilpres? https://t.co/76n972RHSh https://t.co/5sUOUuzLbs"
199,Polisi Otopsi Jenazah Tobri https://t.co/jQp587ICGE https://t.co/eSsNk9rzt9
